Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_CDESC_MINION_LITTLETORUN,,{CONDNAME_MINION_LITTLETORUN} SHOOTS LASERS AND !@#$.,{CONDNAME_MINION_LITTLETORUN}はレーザーを撃ち、クソッタレだ。,{CONDNAME_MINION_LITTLETORUN} SCHIESST LASER UND !@#$.,{CONDNAME_MINION_LITTLETORUN} TIRE DES LASERS ET !@#$.,{CONDNAME_MINION_LITTLETORUN} DISPARA LÁSERES Y !@#$.,{CONDNAME_MINION_LITTLETORUN} DISPARA LASERS E !@#$.,{CONDNAME_MINION_LITTLETORUN} СТРЕЛЯЕТ ЛАЗЕРАМИ И !@#$.,{CONDNAME_MINION_LITTLETORUN} SPARA LASER E !@#$.,{CONDNAME_MINION_LITTLETORUN}射出雷射光束和!@#$。,{CONDNAME_MINION_LITTLETORUN}射出激光并且!@#$。,{CONDNAME_MINION_LITTLETORUN}이(가) 레이저를 쏘고 !@#$합니다.,{CONDNAME_MINION_LITTLETORUN} STRZELA LASERAMI I !@#$.,{CONDNAME_MINION_LITTLETORUN} СТРІЛЯЄ ЛАЗЕРАМИ І !@#$.,{CONDNAME_MINION_LITTLETORUN} SCHIET LASERS EN !@#$.,{CONDNAME_MINION_LITTLETORUN} LAZER ATIYOR VE !@#$.
L_CDESC_MINION_UNSTABLEHORROR,,"This minion's master has 5% more stats for each {CONDNAME_MINION_UNSTABLEHORROR} it has. After this minion's master {ACTION_defends} or {ACTION_provokes}, it deals damage to all enemies equal to 10% of its master's highest stat for each stack of {CONDNAME_MINION_UNSTABLEHORROR} it has. Maximum of 9 stacks.",このしもべの主人は、所持している{CONDNAME_MINION_UNSTABLEHORROR}1つにつき、ステータスが5%上昇する。このしもべの主人が{ACTION_defends}または{ACTION_provokes}した後、所持している{CONDNAME_MINION_UNSTABLEHORROR}のスタック1つにつき、主人の最も高いステータスの10%に等しいダメージを全ての敵に与える。最大9スタックまで。,"Der Meister dieses Dieners hat 5% mehr Statuswerte für jeden {CONDNAME_MINION_UNSTABLEHORROR}, den er besitzt. Nachdem der Meister dieses Dieners {ACTION_defends} oder {ACTION_provokes}, fügt er allen Feinden Schaden zu, der 10% des höchsten Statuswerts seines Meisters für jeden Stapel {CONDNAME_MINION_UNSTABLEHORROR} entspricht, den er besitzt. Maximum von 9 Stapeln.","Le maître de ce sbire a 5% de stats en plus pour chaque {CONDNAME_MINION_UNSTABLEHORROR} qu'il possède. Après que le maître de ce sbire {ACTION_defends} ou {ACTION_provokes}, il inflige des dégâts à tous les ennemis égaux à 10% de la stat la plus élevée de son maître pour chaque cumul de {CONDNAME_MINION_UNSTABLEHORROR} qu'il possède. Maximum de 9 cumuls.","El amo de este esbirro tiene un 5% más de estadísticas por cada {CONDNAME_MINION_UNSTABLEHORROR} que posee. Después de que el amo de este esbirro {ACTION_defends} o {ACTION_provokes}, inflige daño a todos los enemigos igual al 10% de la estadística más alta de su amo por cada acumulación de {CONDNAME_MINION_UNSTABLEHORROR} que tiene. Máximo de 9 acumulaciones.","O mestre deste lacaio tem 5% mais atributos para cada {CONDNAME_MINION_UNSTABLEHORROR} que possui. Depois que o mestre deste lacaio {ACTION_defends} ou {ACTION_provokes}, ele causa dano a todos os inimigos igual a 10% do atributo mais alto de seu mestre para cada acúmulo de {CONDNAME_MINION_UNSTABLEHORROR} que possui. Máximo de 9 acúmulos.","Хозяин этого прислужника получает +5% к характеристикам за каждый {CONDNAME_MINION_UNSTABLEHORROR}. После того как хозяин этого прислужника {ACTION_defends} или {ACTION_provokes}, он наносит всем врагам урон, равный 10% от наивысшей характеристики хозяина за каждый стак {CONDNAME_MINION_UNSTABLEHORROR}. Максимум 9 стаков.","Il padrone di questo servitore ha il 5% di statistiche in più per ogni {CONDNAME_MINION_UNSTABLEHORROR} che possiede. Dopo che il padrone di questo servitore {ACTION_defends} o {ACTION_provokes}, infligge danni a tutti i nemici pari al 10% della statistica più alta del suo padrone per ogni accumulo di {CONDNAME_MINION_UNSTABLEHORROR} che possiede. Massimo 9 accumuli.",此僕從的主人每擁有一層{CONDNAME_MINION_UNSTABLEHORROR}，其屬性增加5%。當此僕從的主人{ACTION_defends}或{ACTION_provokes}後，它會對所有敵人造成傷害，傷害值等同於其主人最高屬性的10%乘以它擁有的{CONDNAME_MINION_UNSTABLEHORROR}層數。最多9層。,这个随从的主人每有一层{CONDNAME_MINION_UNSTABLEHORROR}，其属性值就提高5%。在这个随从的主人{ACTION_defends}或{ACTION_provokes}后，它会对所有敌人造成伤害，伤害值等于其主人最高属性值的10%乘以它拥有的{CONDNAME_MINION_UNSTABLEHORROR}层数。最多9层。,"이 하수인의 주인은 {CONDNAME_MINION_UNSTABLEHORROR}가 있을 때마다 능력치가 5% 증가합니다. 이 하수인의 주인이 {ACTION_defends}하거나 {ACTION_provokes}한 후, 이 하수인은 가지고 있는 {CONDNAME_MINION_UNSTABLEHORROR} 중첩당 주인의 가장 높은 능력치의 10%에 해당하는 피해를 모든 적에게 입힙니다. 최대 9 중첩까지 가능합니다.","Mistrz tego sługi ma o 5% więcej statystyk za każdy posiadany {CONDNAME_MINION_UNSTABLEHORROR}. Po tym, jak mistrz tego sługi {ACTION_defends} lub {ACTION_provokes}, zadaje on wszystkim wrogom obrażenia równe 10% najwyższej statystyki swojego mistrza za każdy posiadany poziom {CONDNAME_MINION_UNSTABLEHORROR}. Maksymalnie 9 poziomów.","Господар цього прислужника має на 5% більше характеристик за кожного {CONDNAME_MINION_UNSTABLEHORROR}, якого він має. Після того, як господар цього прислужника {ACTION_defends} або {ACTION_provokes}, він завдає всім ворогам шкоди, що дорівнює 10% від найвищої характеристики його господаря за кожен стак {CONDNAME_MINION_UNSTABLEHORROR}, який він має. Максимум 9 стаків.","De meester van deze handlanger heeft 5% meer statistieken voor elke {CONDNAME_MINION_UNSTABLEHORROR} die het heeft. Nadat de meester van deze handlanger {ACTION_defends} of {ACTION_provokes}, veroorzaakt het schade aan alle vijanden gelijk aan 10% van de hoogste statistiek van zijn meester voor elke stapel {CONDNAME_MINION_UNSTABLEHORROR} die het heeft. Maximum van 9 stapels.","Bu yardımcının efendisi, sahip olduğu her {CONDNAME_MINION_UNSTABLEHORROR} için %5 daha fazla istatistiğe sahiptir. Bu yardımcının efendisi {ACTION_defends} veya {ACTION_provokes} yaptıktan sonra, sahip olduğu her {CONDNAME_MINION_UNSTABLEHORROR} yığını için efendisinin en yüksek istatistiğinin %10'u kadar tüm düşmanlara hasar verir. Maksimum 9 yığın."
L_CDESC_MINION_SPIDERLING,,"After this minion's master takes damage from an enemy, each of its {CONDNAME_MINION_SPIDERLING} explode, dealing damage to the enemy equal to 50% of the master's Current {STAT_health}. Maximum of 9 stacks.",この手下のマスターが敵からダメージを受けた後、その{CONDNAME_MINION_SPIDERLING}がそれぞれ爆発し、マスターの現在の{STAT_health}の50%に等しいダメージを敵に与えます。最大9スタックまで。,"Nachdem der Meister dieses Dieners Schaden von einem Feind erleidet, explodieren alle seine {CONDNAME_MINION_SPIDERLING} und fügen dem Feind Schaden in Höhe von 50% des aktuellen {STAT_health} des Meisters zu. Maximum von 9 Stapeln.","Après que le maître de ce sbire subit des dégâts d'un ennemi, chacun de ses {CONDNAME_MINION_SPIDERLING} explose, infligeant à l'ennemi des dégâts égaux à 50% de la {STAT_health} actuelle du maître. Maximum de 9 cumuls.","Después de que el maestro de este esbirro reciba daño de un enemigo, cada uno de sus {CONDNAME_MINION_SPIDERLING} explota, infligiendo daño al enemigo igual al 50% de la {STAT_health} actual del maestro. Máximo de 9 acumulaciones.","Após o mestre deste lacaio receber dano de um inimigo, cada um de seus {CONDNAME_MINION_SPIDERLING} explode, causando dano ao inimigo igual a 50% da {STAT_health} Atual do mestre. Máximo de 9 acúmulos.","После того как хозяин этого прислужника получает урон от врага, каждый его {CONDNAME_MINION_SPIDERLING} взрывается, нанося врагу урон, равный 50% от текущего {STAT_health} хозяина. Максимум 9 зарядов.","Dopo che il padrone di questo servitore subisce danni da un nemico, ogni suo {CONDNAME_MINION_SPIDERLING} esplode, infliggendo al nemico danni pari al 50% della {STAT_health} attuale del padrone. Massimo di 9 accumuli.",當此僕從的主人受到敵人傷害後，其每個{CONDNAME_MINION_SPIDERLING}都會爆炸，對敵人造成等同於主人當前{STAT_health}的50%的傷害。最多可疊加9層。,当这个随从的主人受到敌人伤害后，它的每个{CONDNAME_MINION_SPIDERLING}都会爆炸，对敌人造成等同于主人当前{STAT_health}的50%的伤害。最多叠加9层。,"이 하수인의 주인이 적으로부터 피해를 입으면, 각 {CONDNAME_MINION_SPIDERLING}이 폭발하여 주인의 현재 {STAT_health}의 50%에 해당하는 피해를 적에게 입힙니다. 최대 9회 중첩.","Po tym, jak pan tego sługi otrzyma obrażenia od wroga, każdy z jego {CONDNAME_MINION_SPIDERLING} wybucha, zadając wrogowi obrażenia równe 50% aktualnego {STAT_health} pana. Maksymalnie 9 ładunków.","Після того, як господар цього прислужника отримує пошкодження від ворога, кожен його {CONDNAME_MINION_SPIDERLING} вибухає, завдаючи ворогу пошкодження, що дорівнює 50% від поточного {STAT_health} господаря. Максимум 9 накопичень.","Nadat de meester van deze handlanger schade oploopt van een vijand, ontploffen al zijn {CONDNAME_MINION_SPIDERLING}, wat schade toebrengt aan de vijand gelijk aan 50% van de huidige {STAT_health} van de meester. Maximaal 9 stapels.","Bu uşağın efendisi bir düşmandan hasar aldıktan sonra, her bir {CONDNAME_MINION_SPIDERLING} patlayarak düşmana efendisinin Mevcut {STAT_health} değerinin %50'si kadar hasar verir. Maksimum 9 yığın."
L_CDESC_MINION_WRITHELING,,"After this minion's master takes damage from an attack or spell, each {CONDNAME_MINION_WRITHELING} afflicts a random enemy with a random debuff. Maximum of 5 stacks.",この手下のマスターが攻撃や呪文からダメージを受けた後、各{CONDNAME_MINION_WRITHELING}はランダムな敵にランダムな弱体効果を与える。最大5スタックまで。,"Nachdem der Meister dieses Dieners Schaden durch einen Angriff oder Zauber erleidet, belegt jeder {CONDNAME_MINION_WRITHELING} einen zufälligen Gegner mit einem zufälligen Debuff. Maximum von 5 Stapeln.","Après que le maître de ce sbire subit des dégâts d'une attaque ou d'un sort, chaque {CONDNAME_MINION_WRITHELING} inflige une altération d'état négative aléatoire à un ennemi aléatoire. Maximum de 5 cumuls.","Después de que el maestro de este esbirro reciba daño de un ataque o hechizo, cada {CONDNAME_MINION_WRITHELING} aflige a un enemigo aleatorio con un perjuicio aleatorio. Máximo de 5 acumulaciones.","Depois que o mestre deste lacaio sofre dano de um ataque ou feitiço, cada {CONDNAME_MINION_WRITHELING} aflige um inimigo aleatório com uma penalidade aleatória. Máximo de 5 acúmulos.","После того как хозяин этого прислужника получает урон от атаки или заклинания, каждый {CONDNAME_MINION_WRITHELING} поражает случайного врага случайным дебаффом. Максимум 5 стаков.","Dopo che il padrone di questo servitore subisce danni da un attacco o incantesimo, ogni {CONDNAME_MINION_WRITHELING} infligge a un nemico casuale un debuff casuale. Massimo 5 cumuli.",當此僕從的主人受到攻擊或法術傷害後，每個{CONDNAME_MINION_WRITHELING}會對隨機敵人施加一個隨機減益效果。最多疊加5層。,当这个随从的主人受到攻击或法术伤害后，每个{CONDNAME_MINION_WRITHELING}会对一个随机敌人施加一个随机减益效果。最多叠加5层。,"이 하수인의 주인이 공격이나 주문으로 피해를 입은 후, 각 {CONDNAME_MINION_WRITHELING}은(는) 무작위 적에게 무작위 디버프를 부여합니다. 최대 5회 중첩.","Po tym, jak pan tego sługi otrzyma obrażenia od ataku lub zaklęcia, każdy {CONDNAME_MINION_WRITHELING} nakłada na losowego wroga losowy debuff. Maksymalnie 5 poziomów.","Після того, як господар цього прислужника отримує пошкодження від атаки чи закляття, кожен {CONDNAME_MINION_WRITHELING} вражає випадкового ворога випадковим дебафом. Максимум 5 накопичень.","Nadat de meester van deze handlanger schade heeft opgelopen door een aanval of spreuk, voorziet elke {CONDNAME_MINION_WRITHELING} een willekeurige vijand van een willekeurige verzwakking. Maximaal 5 stapels.","Bu yamağın efendisi bir saldırı veya büyüden hasar aldıktan sonra, her {CONDNAME_MINION_WRITHELING} rastgele bir düşmana rastgele bir zayıflatma etkisi uygular. Maksimum 5 yığın."
L_CDESC_MINION_ZOMBIE,,"At the start of this minion's master's turn, each {CONDNAME_MINION_ZOMBIE} deals damage to a random enemy equal to 50% of its {STAT_attack}. Maximum of 9 stacks.",このしもべの主人のターン開始時、各{CONDNAME_MINION_ZOMBIE}はランダムな敵に{STAT_attack}の50%に等しいダメージを与える。最大9回まで重複する。,Zu Beginn des Zuges des Meisters dieses Dieners fügt jeder {CONDNAME_MINION_ZOMBIE} einem zufälligen Feind Schaden in Höhe von 50% seines {STAT_attack} zu. Maximal 9 Stapel.,"Au début du tour du maître de ce serviteur, chaque {CONDNAME_MINION_ZOMBIE} inflige à un ennemi aléatoire des dégâts égaux à 50% de son {STAT_attack}. Maximum de 9 cumuls.","Al inicio del turno del amo de este esbirro, cada {CONDNAME_MINION_ZOMBIE} inflige daño a un enemigo aleatorio igual al 50% de su {STAT_attack}. Máximo de 9 acumulaciones.","No início do turno do mestre deste lacaio, cada {CONDNAME_MINION_ZOMBIE} causa dano a um inimigo aleatório igual a 50% do seu {STAT_attack}. Máximo de 9 acúmulos.","В начале хода хозяина этого прислужника, каждый {CONDNAME_MINION_ZOMBIE} наносит случайному врагу урон, равный 50% от своей {STAT_attack}. Максимум 9 стаков.","All'inizio del turno del padrone di questo servitore, ogni {CONDNAME_MINION_ZOMBIE} infligge danni a un nemico casuale pari al 50% del suo {STAT_attack}. Massimo 9 accumuli.",在此僕從的主人的回合開始時，每個{CONDNAME_MINION_ZOMBIE}對一個隨機敵人造成等同於其{STAT_attack}的50%的傷害。最多疊加9層。,在这个随从的主人的回合开始时，每个{CONDNAME_MINION_ZOMBIE}对一个随机敌人造成等同于其{STAT_attack}的50%的伤害。最多叠加9层。,"이 하수인의 주인의 턴이 시작될 때, 각 {CONDNAME_MINION_ZOMBIE}는 무작위 적에게 자신의 {STAT_attack}의 50%에 해당하는 피해를 입힙니다. 최대 9번 중첩됩니다.","Na początku tury władcy tego sługi, każdy {CONDNAME_MINION_ZOMBIE} zadaje losowemu wrogowi obrażenia równe 50% swojego {STAT_attack}. Maksymalnie 9 ładunków.","На початку ходу господаря цього прислужника, кожен {CONDNAME_MINION_ZOMBIE} завдає випадковому ворогу шкоди, що дорівнює 50% від його {STAT_attack}. Максимум 9 накопичень.","Bij het begin van de beurt van de meester van deze dienaar, brengt elke {CONDNAME_MINION_ZOMBIE} schade toe aan een willekeurige vijand gelijk aan 50% van zijn {STAT_attack}. Maximaal 9 stapels.","Bu hizmetkarın efendisinin sırası başladığında, her {CONDNAME_MINION_ZOMBIE} rastgele bir düşmana {STAT_attack} değerinin %50'si kadar hasar verir. Maksimum 9 yığın."
L_CDESC_MINION_DIREWOLF,,"After this minion's master attacks, each {CONDNAME_MINION_DIREWOLF} deals damage to the target equal to 30% of its {STAT_speed}. Maximum of 5 stacks.",このしもべの主人が攻撃した後、各{CONDNAME_MINION_DIREWOLF}はその{STAT_speed}の30%に等しいダメージを対象に与える。最大5回まで重複する。,"Nachdem der Meister dieses Dieners angreift, fügt jeder {CONDNAME_MINION_DIREWOLF} dem Ziel Schaden in Höhe von 30% seines {STAT_speed} zu. Maximal 5 Stapel.","Après que le maître de ce sbire attaque, chaque {CONDNAME_MINION_DIREWOLF} inflige des dégâts à la cible égaux à 30% de sa {STAT_speed}. Maximum de 5 cumuls.","Después de que el maestro de este esbirro ataque, cada {CONDNAME_MINION_DIREWOLF} inflige daño al objetivo igual al 30% de su {STAT_speed}. Máximo de 5 acumulaciones.","Após o mestre deste lacaio atacar, cada {CONDNAME_MINION_DIREWOLF} causa dano ao alvo igual a 30% de sua {STAT_speed}. Máximo de 5 acúmulos.","После атаки хозяина этого прислужника, каждый {CONDNAME_MINION_DIREWOLF} наносит цели урон, равный 30% от своей {STAT_speed}. Максимум 5 стаков.","Dopo che il padrone di questo servitore attacca, ogni {CONDNAME_MINION_DIREWOLF} infligge danni al bersaglio pari al 30% della sua {STAT_speed}. Massimo 5 cumuli.",在此僕從的主人攻擊後，每個{CONDNAME_MINION_DIREWOLF}對目標造成等同於其{STAT_speed}的30%傷害。最多可疊加5層。,在这个随从的主人攻击后，每个{CONDNAME_MINION_DIREWOLF}对目标造成等同于其{STAT_speed}的30%的伤害。最多叠加5层。,"이 하수인의 주인이 공격한 후, 각 {CONDNAME_MINION_DIREWOLF}는 자신의 {STAT_speed}의 30%에 해당하는 피해를 대상에게 입힙니다. 최대 5회 중첩.","Po ataku pana tego sługi, każdy {CONDNAME_MINION_DIREWOLF} zadaje obrażenia celowi równe 30% swojego {STAT_speed}. Maksymalnie 5 ładunków.","Після атаки господаря цього прислужника, кожен {CONDNAME_MINION_DIREWOLF} завдає цілі шкоди, що дорівнює 30% від його {STAT_speed}. Максимум 5 накопичень.","Nadat de meester van deze handlanger aanvalt, brengt elke {CONDNAME_MINION_DIREWOLF} schade toe aan het doelwit gelijk aan 30% van zijn {STAT_speed}. Maximaal 5 stapels.","Bu hizmetkârın efendisi saldırdıktan sonra, her {CONDNAME_MINION_DIREWOLF} hedefe {STAT_speed} değerinin %30'u kadar hasar verir. Maksimum 5 yığın."
L_CDESC_MINION_DOPPELGANGER,,The {CONDNAME_MINION_DOPPELGANGER}'s master has a 25% chance to take an extra turn.,{CONDNAME_MINION_DOPPELGANGER}の主人は25%の確率で追加ターンを得る。,"Der Meister des {CONDNAME_MINION_DOPPELGANGER} hat eine 25% Chance, einen zusätzlichen Zug zu erhalten.",Le maître du {CONDNAME_MINION_DOPPELGANGER} a 25% de chances d'obtenir un tour supplémentaire.,El maestro del {CONDNAME_MINION_DOPPELGANGER} tiene un 25% de probabilidad de obtener un turno extra.,O mestre do {CONDNAME_MINION_DOPPELGANGER} tem 25% de chance de realizar um turno extra.,У хозяина {CONDNAME_MINION_DOPPELGANGER} есть 25% шанс получить дополнительный ход.,Il padrone del {CONDNAME_MINION_DOPPELGANGER} ha il 25% di possibilità di effettuare un turno extra.,{CONDNAME_MINION_DOPPELGANGER}的主人有25%的機會獲得額外回合。,{CONDNAME_MINION_DOPPELGANGER}的主人有25%的几率获得额外回合。,{CONDNAME_MINION_DOPPELGANGER}의 주인은 25% 확률로 추가 턴을 가집니다.,Mistrz {CONDNAME_MINION_DOPPELGANGER} ma 25% szans na wykonanie dodatkowej tury.,Господар {CONDNAME_MINION_DOPPELGANGER} має 25% шанс отримати додатковий хід.,De meester van de {CONDNAME_MINION_DOPPELGANGER} heeft 25% kans om een extra beurt te nemen.,{CONDNAME_MINION_DOPPELGANGER}'ın efendisinin %25 ihtimalle ekstra tur alma şansı vardır.
L_CDESC_MINION_AMALGAMATION,,"After the {CONDNAME_MINION_AMALGAMATION}'s master deals damage with an attack or spell, this minion deals damage to a random enemy equal to 5% of its master's highest stat multiplied by the number of minions it has.",{CONDNAME_MINION_AMALGAMATION}の主人が攻撃や呪文でダメージを与えた後、このしもべはランダムな敵に、主人の最も高いステータスの5%に所持しているしもべの数を掛けた値に等しいダメージを与える。,"Nachdem der Meister des {CONDNAME_MINION_AMALGAMATION} Schaden mit einem Angriff oder Zauber verursacht hat, fügt dieser Diener einem zufälligen Gegner Schaden zu, der 5% des höchsten Attributs seines Meisters entspricht, multipliziert mit der Anzahl seiner Diener.","Après que le maître du {CONDNAME_MINION_AMALGAMATION} inflige des dégâts avec une attaque ou un sort, ce sbire inflige à un ennemi aléatoire des dégâts égaux à 5% de la statistique la plus élevée de son maître, multipliés par le nombre de sbires qu'il possède.","Después de que el maestro del {CONDNAME_MINION_AMALGAMATION} cause daño con un ataque o hechizo, este esbirro inflige daño a un enemigo aleatorio igual al 5% de la estadística más alta de su maestro multiplicada por el número de esbirros que tiene.","Após o mestre do {CONDNAME_MINION_AMALGAMATION} causar dano com um ataque ou feitiço, este lacaio causa dano a um inimigo aleatório igual a 5% do atributo mais alto de seu mestre multiplicado pelo número de lacaios que ele possui.","После того как хозяин {CONDNAME_MINION_AMALGAMATION} наносит урон атакой или заклинанием, этот миньон наносит случайному врагу урон, равный 5% от наивысшей характеристики своего хозяина, умноженной на количество имеющихся у него миньонов.","Dopo che il padrone di {CONDNAME_MINION_AMALGAMATION} infligge danni con un attacco o un incantesimo, questo servitore infligge danni a un nemico casuale pari al 5% della statistica più alta del suo padrone moltiplicata per il numero di servitori che possiede.",在{CONDNAME_MINION_AMALGAMATION}的主人使用攻擊或法術造成傷害後，此僕從會對一個隨機敵人造成傷害，傷害值等於其主人最高屬性的5%乘以其擁有的僕從數量。,在{CONDNAME_MINION_AMALGAMATION}的主人用攻击或法术造成伤害后，此随从对一个随机敌人造成等同于其主人最高属性值的5%乘以其拥有的随从数量的伤害。,"{CONDNAME_MINION_AMALGAMATION}의 주인이 공격이나 주문으로 피해를 입힌 후, 이 하수인은 무작위 적에게 주인의 가장 높은 능력치의 5%에 보유한 하수인 수를 곱한 만큼의 피해를 입힙니다.","Po tym, jak pan {CONDNAME_MINION_AMALGAMATION} zada obrażenia atakiem lub zaklęciem, ten podwładny zadaje losowemu wrogowi obrażenia równe 5% najwyższej statystyki swojego pana pomnożonej przez liczbę posiadanych podwładnych.","Після того, як господар {CONDNAME_MINION_AMALGAMATION} завдає шкоди атакою чи закляттям, цей прислужник завдає випадковому ворогу шкоди, що дорівнює 5% від найвищої характеристики господаря, помноженої на кількість прислужників, які в нього є.","Nadat de meester van de {CONDNAME_MINION_AMALGAMATION} schade toebrengt met een aanval of spreuk, brengt deze dienaar schade toe aan een willekeurige vijand gelijk aan 5% van de hoogste eigenschap van zijn meester, vermenigvuldigd met het aantal dienaren dat het heeft.","{CONDNAME_MINION_AMALGAMATION}'nin efendisi bir saldırı veya büyü ile hasar verdikten sonra, bu yamyam rastgele bir düşmana, efendisinin en yüksek özelliğinin %5'i ile sahip olduğu yamyam sayısının çarpımına eşit hasar verir."
L_CDESC_MINION_MICROBOT,,"At the end of this minion's master's turn, each {CONDNAME_MINION_MICROBOT} deals damage to a random enemy equal to 50% of its {STAT_intelligence}. Maximum of 9 stacks.",このミニオンのマスターのターン終了時、各{CONDNAME_MINION_MICROBOT}はランダムな敵に{STAT_intelligence}の50%に等しいダメージを与える。最大9スタックまで。,Am Ende des Zuges des Meisters dieses Dieners fügt jeder {CONDNAME_MINION_MICROBOT} einem zufälligen Gegner Schaden in Höhe von 50% seiner {STAT_intelligence} zu. Maximum von 9 Stapeln.,"À la fin du tour du maître de ce sbire, chaque {CONDNAME_MINION_MICROBOT} inflige à un ennemi aléatoire des dégâts égaux à 50% de son {STAT_intelligence}. Maximum de 9 cumuls.","Al final del turno del maestro de este esbirro, cada {CONDNAME_MINION_MICROBOT} inflige daño a un enemigo aleatorio igual al 50% de su {STAT_intelligence}. Máximo de 9 acumulaciones.","No final do turno do mestre deste lacaio, cada {CONDNAME_MINION_MICROBOT} causa dano a um inimigo aleatório igual a 50% de sua {STAT_intelligence}. Máximo de 9 acúmulos.","В конце хода хозяина этого прислужника, каждый {CONDNAME_MINION_MICROBOT} наносит случайному врагу урон, равный 50% от своего {STAT_intelligence}. Максимум 9 стаков.","Al termine del turno del padrone di questo servitore, ogni {CONDNAME_MINION_MICROBOT} infligge danni a un nemico casuale pari al 50% della sua {STAT_intelligence}. Massimo 9 accumuli.",在這個僕從的主人的回合結束時，每個{CONDNAME_MINION_MICROBOT}對一個隨機敵人造成等同於其{STAT_intelligence}的50%的傷害。最多疊加9層。,在这个随从的主人的回合结束时，每个{CONDNAME_MINION_MICROBOT}对一个随机敌人造成等同于其{STAT_intelligence}的50%的伤害。最多叠加9层。,"이 하수인의 주인의 턴이 끝날 때, 각 {CONDNAME_MINION_MICROBOT}은(는) 무작위 적에게 자신의 {STAT_intelligence}의 50%에 해당하는 피해를 입힙니다. 최대 9번 중첩됩니다.","Na końcu tury mistrza tego sługi, każdy {CONDNAME_MINION_MICROBOT} zadaje losowemu wrogowi obrażenia równe 50% swojej {STAT_intelligence}. Maksymalnie 9 ładunków.","Наприкінці ходу господаря цього прислужника, кожен {CONDNAME_MINION_MICROBOT} завдає випадковому ворогу шкоди, що дорівнює 50% від його {STAT_intelligence}. Максимум 9 накопичень.","Aan het einde van de beurt van de meester van deze handlanger, brengt elke {CONDNAME_MINION_MICROBOT} schade toe aan een willekeurige vijand gelijk aan 50% van zijn {STAT_intelligence}. Maximaal 9 stapels.","Bu minyonun efendisinin sırası sonunda, her {CONDNAME_MINION_MICROBOT} rastgele bir düşmana {STAT_intelligence} değerinin %50'si kadar hasar verir. Maksimum 9 yığın."
L_CDESC_MINION_MAMMON,,"When {CONDNAME_MINION_MAMMON}'s master takes damage, the damage is reduced by 2% for each stack of each Lesser Demon it has. This minion is a Greater Demon.",{CONDNAME_MINION_MAMMON}の主人がダメージを受けると、このミニオンが持つ各下級悪魔のスタック1つにつき、ダメージが2%減少します。このミニオンは上級悪魔です。,"Wenn der Meister von {CONDNAME_MINION_MAMMON} Schaden erleidet, wird der Schaden um 2% für jeden Stapel jedes Niederen Dämons reduziert, den es besitzt. Dieser Diener ist ein Größerer Dämon.","Lorsque le maître de {CONDNAME_MINION_MAMMON} subit des dégâts, les dégâts sont réduits de 2% pour chaque cumul de chaque Démon Mineur qu'il possède. Ce sbire est un Démon Majeur.","Cuando el maestro de {CONDNAME_MINION_MAMMON} recibe daño, el daño se reduce en un 2% por cada acumulación de cada Demonio Menor que posea. Este esbirro es un Demonio Mayor.","Quando o mestre de {CONDNAME_MINION_MAMMON} sofre dano, o dano é reduzido em 2% para cada acúmulo de cada Demônio Menor que ele possui. Este lacaio é um Demônio Maior.","Когда хозяин {CONDNAME_MINION_MAMMON} получает урон, урон уменьшается на 2% за каждый стак каждого Малого Демона, которым он обладает. Этот миньон является Высшим Демоном.","Quando il padrone di {CONDNAME_MINION_MAMMON} subisce danni, i danni vengono ridotti del 2% per ogni accumulo di ogni Demone Minore che possiede. Questo servitore è un Demone Maggiore.",當{CONDNAME_MINION_MAMMON}的主人受到傷害時，每有一層次的小惡魔，傷害就會減少2%。這個僕從是一個大惡魔。,当{CONDNAME_MINION_MAMMON}的主人受到伤害时，每有一层次级恶魔，伤害减少2%。这个随从是一个大恶魔。,"{CONDNAME_MINION_MAMMON}의 주인이 피해를 받을 때, 이 하수인이 가진 각 하급 악마 중첩당 피해가 2%씩 감소합니다. 이 하수인은 상급 악마입니다.","Gdy pan {CONDNAME_MINION_MAMMON} otrzymuje obrażenia, obrażenia te są zmniejszone o 2% za każdy stos każdego Pomniejszego Demona, który posiada. Ten sługa jest Większym Demonem.","Коли господар {CONDNAME_MINION_MAMMON} отримує пошкодження, воно зменшується на 2% за кожний стак кожного Нижчого Демона, який він має. Цей прислужник є Вищим Демоном.","Wanneer de meester van {CONDNAME_MINION_MAMMON} schade ontvangt, wordt de schade verminderd met 2% voor elke stapel van elke Mindere Demon die het heeft. Deze dienaar is een Grotere Demon.","{CONDNAME_MINION_MAMMON}'ın efendisi hasar aldığında, hasar sahip olduğu her Küçük Şeytan yığını başına %2 azalır. Bu hizmetkar bir Büyük Şeytan'dır."
